Updated On,State,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Total Individuals Vaccinated
16-01-2021,Andaman and Nicobar Islands,23,0,12,11,0,0,23,Null,Null,Null,Null,Null,23
17-01-2021,Andaman and Nicobar Islands,23,0,12,11,0,0,23,Null,Null,Null,Null,Null,23
18-01-2021,Andaman and Nicobar Islands,42,0,29,13,0,0,42,Null,Null,Null,Null,Null,42
19-01-2021,Andaman and Nicobar Islands,89,0,53,36,0,0,89,Null,Null,Null,Null,Null,89
20-01-2021,Andaman and Nicobar Islands,124,0,67,57,0,0,124,Null,Null,Null,Null,Null,124
21-01-2021,Andaman and Nicobar Islands,239,0,110,129,0,0,239,Null,Null,Null,Null,Null,239
22-01-2021,Andaman and Nicobar Islands,552,0,231,321,0,0,552,Null,Null,Null,Null,Null,552
23-01-2021,Andaman and Nicobar Islands,920,0,342,578,0,0,920,Null,Null,Null,Null,Null,920
24-01-2021,Andaman and Nicobar Islands,966,0,357,609,0,0,966,Null,Null,Null,Null,Null,966
25-01-2021,Andaman and Nicobar Islands,1519,0,447,1072,0,0,1519,Null,Null,Null,Null,Null,1519
26-01-2021,Andaman and Nicobar Islands,1519,0,447,1072,0,0,1519,Null,Null,Null,Null,Null,1519
27-01-2021,Andaman and Nicobar Islands,1519,0,447,1072,0,0,1519,Null,Null,Null,Null,Null,1519
28-01-2021,Andaman and Nicobar Islands,1956,0,563,1393,0,0,1956,Null,Null,Null,Null,Null,1956
29-01-2021,Andaman and Nicobar Islands,2024,0,588,1436,0,0,2024,Null,Null,Null,Null,Null,2024
30-01-2021,Andaman and Nicobar Islands,2060,0,591,1469,0,0,2060,Null,Null,Null,Null,Null,2060
31-01-2021,Andaman and Nicobar Islands,2060,0,591,1469,0,0,2060,Null,Null,Null,Null,Null,2060
01-02-2021,Andaman and Nicobar Islands,2060,0,591,1469,0,0,2060,Null,Null,Null,Null,Null,2060
02-02-2021,Andaman and Nicobar Islands,2060,0,591,1469,0,0,2060,Null,Null,Null,Null,Null,2060
03-02-2021,Andaman and Nicobar Islands,2107,0,601,1506,0,0,2107,Null,Null,Null,Null,Null,2107
04-02-2021,Andaman and Nicobar Islands,2290,0,659,1631,0,0,2290,Null,Null,Null,Null,Null,2290
05-02-2021,Andaman and Nicobar Islands,2514,0,705,1809,0,0,2514,Null,Null,Null,Null,Null,2514
06-02-2021,Andaman and Nicobar Islands,2780,0,745,2035,0,0,2780,Null,Null,Null,Null,Null,2780
07-02-2021,Andaman and Nicobar Islands,2780,0,745,2035,0,0,2780,Null,Null,Null,Null,Null,2780
08-02-2021,Andaman and Nicobar Islands,2780,0,745,2035,0,0,2780,Null,Null,Null,Null,Null,2780
09-02-2021,Andaman and Nicobar Islands,2780,0,745,2035,0,0,2780,Null,Null,Null,Null,Null,2780
10-02-2021,Andaman and Nicobar Islands,2780,0,745,2035,0,0,2780,Null,Null,Null,Null,Null,2780
11-02-2021,Andaman and Nicobar Islands,2780,0,745,2035,0,0,2780,Null,Null,Null,Null,Null,2780
12-02-2021,Andaman and Nicobar Islands,2852,0,773,2079,0,0,2852,Null,Null,Null,Null,Null,2852
13-02-2021,Andaman and Nicobar Islands,3040,0,938,2102,0,0,3040,Null,Null,Null,Null,Null,3040
14-02-2021,Andaman and Nicobar Islands,3040,0,938,2102,0,0,3040,Null,Null,Null,Null,Null,3040
15-02-2021,Andaman and Nicobar Islands,3363,104,1176,2187,0,0,3363,Null,Null,Null,Null,Null,3363
16-02-2021,Andaman and Nicobar Islands,3363,104,1176,2187,0,0,3363,Null,Null,Null,Null,Null,3363
17-02-2021,Andaman and Nicobar Islands,3560,104,1343,2217,0,0,3560,Null,Null,Null,Null,Null,3560
18-02-2021,Andaman and Nicobar Islands,3505,341,1455,2050,0,0,3505,Null,Null,Null,Null,Null,3505
19-02-2021,Andaman and Nicobar Islands,4246,652,1805,2441,0,0,4246,Null,Null,Null,Null,Null,4246
20-02-2021,Andaman and Nicobar Islands,4707,946,2221,2486,0,0,4707,Null,Null,Null,Null,Null,4707
21-02-2021,Andaman and Nicobar Islands,4707,946,2221,2486,0,0,4707,Null,Null,Null,Null,Null,4707
22-02-2021,Andaman and Nicobar Islands,5358,1498,2773,2585,0,0,5358,Null,Null,Null,Null,Null,5358
23-02-2021,Andaman and Nicobar Islands,5436,1622,2831,2605,0,0,5436,Null,Null,Null,Null,Null,5436
24-02-2021,Andaman and Nicobar Islands,5518,1722,2896,2622,0,0,5518,Null,Null,Null,Null,Null,5518
